case_id,campaign,geometry_id,pc_pa,pa_pa,npr,of_ratio,t0_k,gas_model,turbulence_model,wall_model,evidence_status,physics_accepted,training_eligible
hot_methalox_nominal_001,hot_methalox_nominal,DLR_PAR,5381714.054119397,70054.28660841944,76.82205207800372,3.1797652477851335,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_002,hot_methalox_nominal,DLR_PAR,5275293.520408064,77831.66085352784,67.77824682857135,3.1915641513017063,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_003,hot_methalox_nominal,DLR_PAR,5396283.648081604,86324.2948091332,62.51176056535445,3.232393647665637,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_004,hot_methalox_nominal,DLR_PAR,5253975.331838145,94250.1557014531,55.74500426801037,3.215511924509852,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_005,hot_methalox_nominal,DLR_PAR,5308426.784133401,97539.89943611904,54.423131608926894,3.201516442469677,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_006,hot_methalox_nominal,DLR_PAR,5350294.4578665765,95719.47300026112,55.89556952378939,3.105130673763817,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_007,hot_methalox_nominal,DLR_PAR,5213282.176053898,74812.72402995074,69.68443194190868,3.1153943657730707,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_008,hot_methalox_nominal,DLR_PAR,5318749.1073137745,83235.50540739231,63.900003745774164,3.1253752915463053,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_009,hot_methalox_nominal,DLR_PAR,5162358.311919055,81488.41665630323,63.35082363537051,3.1640152575563234,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_010,hot_methalox_nominal,DLR_PAR,5172078.925961495,88592.8274942869,58.38033475447014,3.224592793549683,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_011,hot_methalox_nominal,DLR_PAR,5194504.844330271,56827.99201965747,91.40750288226673,3.171311219345602,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_012,hot_methalox_nominal,DLR_PAR,5237780.922925103,54760.353138171515,95.64914436744256,3.2843293219855627,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_013,hot_methalox_nominal,DLR_PAR,5122579.796924344,52796.77171058794,97.02448901619215,3.1395760815511466,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_014,hot_methalox_nominal,DLR_PAR,5274422.283907087,63647.81688239984,82.86886404371855,3.237822755027307,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
hot_methalox_nominal_015,hot_methalox_nominal,DLR_PAR,5340387.270928796,90767.05675657,58.83618420338657,3.158059826817315,CEA_PENDING,equilibrium_products_LUT,SST_2003m,adiabatic,representative_LLAMA_scale_operating_envelope,false,false
