case_id,geometry_id,chamber_pressure_pa,of_ratio,back_pressure_pa,area_ratio,throat_radius_m,divergent_length_m,wall_temperature_k,chemistry_model,turbulence_model,separated,x_sep_m,x_reattach_m,shock_x_m,converged
case_0001,bell_0001,20969585.0449535,3.9729390721027174,98238.57388445185,46.74188535105704,0.02962741906448294,0.21694522426640778,762.753629999802,CEA_equilibrium,SST,,,,,
case_0002,bell_0002,28171476.498949073,3.7411676423878615,77325.57122092487,32.74091005359967,0.015035659644283305,0.3139675937513656,542.7805413360743,CEA_equilibrium,SST,,,,,
case_0003,bell_0003,24378968.73634065,3.8733207517903776,61165.209406373,20.239917855057893,0.03132653292208422,0.16598203159971003,686.8360876200757,CEA_equilibrium,SST,,,,,
case_0004,bell_0004,20531627.096011285,3.9374854215960937,35295.00384388594,30.393171675640556,0.021748183373350098,0.1914824164194623,799.6202265401638,CEA_equilibrium,SST,,,,,
case_0005,bell_0005,22674794.9268857,3.578907396329456,39659.82012385381,29.37266567991493,0.016794421277274513,0.3273839149769582,654.1487344419093,CEA_equilibrium,SST,,,,,
case_0006,bell_0006,26954154.26076726,3.9083956639395168,46917.769990595814,24.557931001738215,0.02720686342449285,0.2567308956712453,513.1278357896124,CEA_equilibrium,SST,,,,,
case_0007,bell_0007,26660603.60743822,3.485848626956006,23878.31959019655,37.92445773797046,0.025178685196921853,0.2382499904744665,861.3466733223333,CEA_equilibrium,SST,,,,,
case_0008,bell_0008,23174787.417613026,3.3904807792549394,50905.132046676605,40.54643871156668,0.017038303304405367,0.2088129524797015,552.1068277742723,CEA_equilibrium,SST,,,,,
case_0009,bell_0009,23798022.778227907,3.3234247847367167,41084.15650306105,32.00933083639325,0.03367295403497112,0.18320542138465498,889.9509114707746,CEA_equilibrium,SST,,,,,
case_0010,bell_0010,29953346.383602932,3.6030476642035474,89762.59484353622,43.369107732990116,0.018373982559717172,0.3312775158344898,822.1441746875201,CEA_equilibrium,SST,,,,,
case_0011,bell_0011,20200413.825404666,3.681024809145997,94755.89749446964,48.08188149805805,0.03266472193008403,0.29017497885423693,745.427708194042,CEA_equilibrium,SST,,,,,
case_0012,bell_0012,29421431.761961613,3.4637622856823462,27874.935569781417,45.85250729190351,0.02424535597930902,0.25585626900936426,714.253729540039,CEA_equilibrium,SST,,,,,
case_0013,bell_0013,27909147.777749166,3.780738138638357,65114.554065978824,39.46247308923611,0.026048010956147564,0.17853268438987996,536.7864799153651,CEA_equilibrium,SST,,,,,
case_0014,bell_0014,23456981.105529834,3.5532462102539473,68096.40392762347,22.112649116027207,0.015731714861588322,0.15174253667240103,733.853711410847,CEA_equilibrium,SST,,,,,
case_0015,bell_0015,28482536.32234569,3.3490490191787576,79033.35920798313,35.51926152546939,0.022251898450095484,0.22557708633835216,503.2972166542482,CEA_equilibrium,SST,,,,,
case_0016,bell_0016,24915910.94875614,3.752511508792521,34383.01815804537,41.15863851518576,0.02661902649993359,0.29906098491076366,702.2679686242647,CEA_equilibrium,SST,,,,,
case_0017,bell_0017,23035948.90738466,3.5348662042954886,87440.0216191047,41.9315123667178,0.022613383549614355,0.34133668229729347,843.9862560815004,CEA_equilibrium,SST,,,,,
case_0018,bell_0018,22001321.149934318,3.2691881726244483,45297.86197857009,49.557677965241986,0.034886121470275824,0.24943107329692626,872.068229488408,CEA_equilibrium,SST,,,,,
case_0019,bell_0019,25142728.02661183,3.3557232833777375,73060.04213557948,25.195820682603465,0.018034602400934397,0.2236548257532942,876.9196041387471,CEA_equilibrium,SST,,,,,
case_0020,bell_0020,21354115.653595887,3.524370843542613,25386.388150938878,23.545842657683465,0.01959969315584057,0.1971226435661616,593.3181828002753,CEA_equilibrium,SST,,,,,
case_0021,bell_0021,21567817.993580274,3.9784427418003987,54048.34416869687,33.3699396403795,0.02856309401789777,0.16876061742394707,644.3422153587669,CEA_equilibrium,SST,,,,,
case_0022,bell_0022,22279430.085632004,3.4216867379419837,20509.995495389485,37.287402100797124,0.024930812481179527,0.30280255234207454,629.4879797978158,CEA_equilibrium,SST,,,,,
case_0023,bell_0023,25778295.707700927,3.8918243129337826,70319.77218449509,27.24444000676536,0.01886076308540262,0.23466903373480985,569.7167669767948,CEA_equilibrium,SST,,,,,
case_0024,bell_0024,28753157.539306168,3.439303986593557,48031.2850343657,43.929625104120774,0.020389444334685536,0.274860505949455,833.594783901472,CEA_equilibrium,SST,,,,,
case_0025,bell_0025,29166461.262207527,3.7045723180164245,93670.31414092043,44.96559499092274,0.030562190156944308,0.2815503820651329,754.5764709667887,CEA_equilibrium,SST,,,,,
case_0026,bell_0026,27744566.213358823,3.82489424140841,59196.11942374113,34.24628807076981,0.029313755523863727,0.31894362023111406,617.562455846259,CEA_equilibrium,SST,,,,,
case_0027,bell_0027,20854060.932077337,3.2450311355075088,75686.61859215754,21.044840577457897,0.027766065716311718,0.31102876134327984,785.8793582598639,CEA_equilibrium,SST,,,,,
case_0028,bell_0028,26512765.062981926,3.8467422601631034,81417.84747529952,36.3700922001582,0.033765899669545435,0.2661764281202147,609.8787502936915,CEA_equilibrium,SST,,,,,
case_0029,bell_0029,26069958.941786736,3.6384801799988438,101312.08493527106,48.282188510510615,0.023657899829408174,0.34419620061909145,693.6801269923644,CEA_equilibrium,SST,,,,,
case_0030,bell_0030,25537804.025609076,3.6707260225069622,31509.217526660446,30.246389443951543,0.020962101439253165,0.2796140244012061,808.4361543476482,CEA_equilibrium,SST,,,,,
case_0031,bell_0031,27280430.663632333,3.2763345646070188,85612.1464871965,27.56684172441272,0.03214042512580556,0.15814870265515957,586.294702811888,CEA_equilibrium,SST,,,,,
case_0032,bell_0032,24141022.713503975,3.2169991880626303,56031.04401385409,26.29855239592451,0.03117867601009664,0.20518602049153656,664.2339319617915,CEA_equilibrium,SST,,,,,
