case_id,campaign,geometry_id,pc_pa,t0_k,pa_pa,of_ratio,numerically_accepted,physics_accepted,provisional,profile_csv,separated,x_sep_m,exclusion_reason
hot_methalox_ground_throttle_exploratory_001,hot_methalox_ground_throttle_exploratory,DLR_PAR,2559971.7977145975,3406.26,101325.0,3.2711208758272305,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_002,hot_methalox_ground_throttle_exploratory,DLR_PAR,2998033.051501125,3409.66,101325.0,3.1590683292722197,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_003,hot_methalox_ground_throttle_exploratory,DLR_PAR,3443315.5431212774,3432.81,101325.0,3.1936517429830267,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_004,hot_methalox_ground_throttle_exploratory,DLR_PAR,4938889.518787262,3470.26,101325.0,3.1551986828150502,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_005,hot_methalox_ground_throttle_exploratory,DLR_PAR,3563497.00527115,3440.09,101325.0,3.212038875517553,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_006,hot_methalox_ground_throttle_exploratory,DLR_PAR,3932227.8469366776,3431.91,101325.0,3.105264345885516,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_007,hot_methalox_ground_throttle_exploratory,DLR_PAR,2370954.406922216,3378.2,101325.0,3.144660486376349,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_008,hot_methalox_ground_throttle_exploratory,DLR_PAR,2723445.5341915283,3405.61,101325.0,3.2075519750574997,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_009,hot_methalox_ground_throttle_exploratory,DLR_PAR,3712779.664363521,3452.28,101325.0,3.2593710065103987,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_010,hot_methalox_ground_throttle_exploratory,DLR_PAR,4738032.136874271,3462.34,101325.0,3.1415202753669074,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_011,hot_methalox_ground_throttle_exploratory,DLR_PAR,3280891.177662549,3435.97,101325.0,3.2554596389631576,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_012,hot_methalox_ground_throttle_exploratory,DLR_PAR,5199776.420813104,3500.22,101325.0,3.294631430907986,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_013,hot_methalox_ground_throttle_exploratory,DLR_PAR,4066252.89295512,3441.78,101325.0,3.132117395853095,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_014,hot_methalox_ground_throttle_exploratory,DLR_PAR,2928883.2207461037,3410.15,101325.0,3.178692975871261,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_015,hot_methalox_ground_throttle_exploratory,DLR_PAR,2015501.0809350065,3377.4,101325.0,3.2870942681089916,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_016,hot_methalox_ground_throttle_exploratory,DLR_PAR,2261264.9059175844,3365.9,101325.0,3.1090965225888443,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_017,hot_methalox_ground_throttle_exploratory,DLR_PAR,3247654.3238173514,3437.35,101325.0,3.2761551388212884,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_018,hot_methalox_ground_throttle_exploratory,DLR_PAR,4325104.872470283,3457.23,101325.0,3.171734702444782,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_019,hot_methalox_ground_throttle_exploratory,DLR_PAR,4524400.682233225,3475.77,101325.0,3.247762898530814,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_020,hot_methalox_ground_throttle_exploratory,DLR_PAR,2698745.875620901,3407.38,101325.0,3.227775458889253,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_021,hot_methalox_ground_throttle_exploratory,DLR_PAR,4999881.422705665,3464.74,101325.0,3.1228638584057578,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_022,hot_methalox_ground_throttle_exploratory,DLR_PAR,4576195.417616289,3472.9,101325.0,3.220504132901136,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_023,hot_methalox_ground_throttle_exploratory,DLR_PAR,4134900.020444758,3463.11,101325.0,3.2395112288612293,false,false,false,,,,planned_CFD_not_run
hot_methalox_ground_throttle_exploratory_024,hot_methalox_ground_throttle_exploratory,DLR_PAR,5327307.046351999,3486.74,101325.0,3.19141788434152,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_001,hot_methalox_nominal,DLR_PAR,5381714.054119397,3485.75,70054.28660841944,3.1797652477851335,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_002,hot_methalox_nominal,DLR_PAR,5275293.520408064,3485.55,77831.66085352784,3.1915641513017063,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_003,hot_methalox_nominal,DLR_PAR,5396283.648081604,3495.62,86324.2948091332,3.232393647665637,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_004,hot_methalox_nominal,DLR_PAR,5253975.331838145,3489.39,94250.1557014531,3.215511924509852,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_005,hot_methalox_nominal,DLR_PAR,5308426.784133401,3488.17,97539.89943611904,3.201516442469677,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_006,hot_methalox_nominal,DLR_PAR,5350294.4578665765,3468.66,95719.47300026112,3.105130673763817,false,false,false,,,,planned_CFD_not_run
